INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
400	尽奏清商	34	10	1	5	419	5	80	-800	120	-1600	200	-2400	320	-3200	520	-4000	-1	-1	15	-1	-1	-1	-1	曼陀山庄昭明Y10
401	余音·滞脉	88	10	0	6	396	5	12	40	24	80	36	120	60	160	96	200	-1	-1	20	-1	-1	-1	-1	曼陀山庄2晚籁X1
402	余音·攻心	90	10	0	6	396	5	12	10	24	20	36	30	60	40	96	50	-1	-1	20	-1	-1	-1	-1	曼陀山庄2晚籁X2
403	尘曲休	3	10	0	7	399	5	24	30	36	60	60	90	96	120	156	150	401	5	-1	-1	44912	-1	-1	曼陀山庄2晚籁X3
404	曲震林樾	124	10	0	7	399	5	24	20	36	40	60	60	96	80	156	100	-1	-1	25	-1	-1	-1	-1	曼陀山庄2晚籁X4
405	五音迷障	21	10	0	7	411	5	24	20	36	40	60	60	96	80	156	100	402	5	-1	-1	-1	-1	-1	曼陀山庄2晚籁X5
406	孤声留客	3	10	0	8	396	5	50	10	90	20	140	30	230	40	372	50	-1	-1	30	-1	44913	-1	-1	曼陀山庄2晚籁X6
407	弦送寒音	49	10	0	8	411	5	50	60	90	120	140	180	230	240	372	300	405	5	-1	2	763	-1	-1	曼陀山庄2晚籁X7
408	唯我自在	93	10	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3596	曼陀山庄2晚籁X8
409	凝光照雪	93	10	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3597	曼陀山庄2晚籁X9
410	气定神闲	93	10	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3598	曼陀山庄2晚籁X10
411	余音·滞脉	88	10	1	6	396	5	12	40	24	80	36	120	60	160	96	200	-1	-1	20	-1	-1	-1	-1	曼陀山庄2昭明Y1
412	固若金汤	94	10	1	6	-1	5	12	10	24	20	36	30	60	40	96	50	-1	-1	20	-1	-1	-1	-1	曼陀山庄2昭明Y2
413	春寒寂	96	10	1	7	399	5	24	120	36	240	60	360	96	480	156	600	411	5	-1	-1	44914	-1	-1	曼陀山庄2昭明Y3
414	长歌当哭	97	10	1	7	399	5	24	70	36	140	60	210	96	280	156	350	-1	-1	25	-1	-1	-1	-1	曼陀山庄2昭明Y4
415	振衣天风	125	10	1	7	402	5	24	100	36	200	60	300	96	400	156	500	412	5	-1	-1	-1	-1	-1	曼陀山庄2昭明Y5
416	流云不转	3	10	1	8	396	5	50	40	90	80	140	120	230	160	372	200	-1	-1	30	-1	44915	-1	-1	曼陀山庄2昭明Y6
417	大风歌	126	10	1	8	399	5	50	100	90	200	140	300	230	400	372	500	-1	-1	30	-1	-1	-1	-1	曼陀山庄2昭明Y7
418	唯我自在	93	10	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3596	曼陀山庄2昭明Y8
419	凝光照雪	93	10	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3597	曼陀山庄2昭明Y9
420	气定神闲	93	10	1	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3598	曼陀山庄2昭明Y10
